"","ACT_ARR_DATE","ACT_ARR_HOUR","Del","Count","Date","M","T","W","R","F","ST","SN","Weekend","Holiday","Winter","Spring","Summer","Fall","Cancel"
"6","2018-01-01",0,0,34,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"7","2018-01-01",1,0,28,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"8","2018-01-01",2,0,27,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"9","2018-01-01",3,0,24,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"10","2018-01-01",4,0,30,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,1
"11","2018-01-01",5,2,68,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,2
"12","2018-01-01",6,83,115,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,11
"13","2018-01-01",7,804,330,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,19
"14","2018-01-01",8,2143,494,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,18
"15","2018-01-01",9,4576,724,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,29
"16","2018-01-01",10,7396,917,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,37
"17","2018-01-01",11,10877,961,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,28
"18","2018-01-01",12,13752,979,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,24
"19","2018-01-01",13,16836,1063,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,29
"20","2018-01-01",14,22825,1219,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,13
"21","2018-01-01",15,23694,1124,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,20
"22","2018-01-01",16,25352,1144,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,15
"23","2018-01-01",17,23106,1147,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,18
"24","2018-01-01",18,24976,1158,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,19
"25","2018-01-01",19,30769,1224,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,16
"26","2018-01-01",20,26593,1018,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,14
"27","2018-01-01",21,25994,1114,2018-01-01,1,0,0,0,0,0,0,0,1,1,0,0,0,14
